Date,Open,High,Low,Close,Adj Close,Volume
2015-04-30,27242.05078125,27242.05078125,26897.5390625,27011.310546875,27011.310546875,10900
2015-05-04,27204.630859375,27537.849609375,27159.44921875,27490.58984375,27490.58984375,8300
2015-05-05,27561.3203125,27603.7109375,27338.23046875,27440.140625,27440.140625,11300
2015-05-06,27473.359375,27501.150390625,26677.640625,26717.369140625,26717.369140625,14200
2015-05-07,26721.33984375,26850.369140625,26423.990234375,26599.109375,26599.109375,12500
2015-05-08,26814.380859375,27196.279296875,26814.380859375,27105.390625,27105.390625,8800
2015-05-11,27249.419921875,27544.240234375,27231.279296875,27507.30078125,27507.30078125,11300
2015-05-12,27502.91015625,27502.91015625,26837.390625,26877.48046875,26877.48046875,12400
2015-05-13,27023.7109375,27299.80078125,26750.009765625,27251.099609375,27251.099609375,13600
2015-05-14,27290.169921875,27293.990234375,26948.619140625,27206.060546875,27206.060546875,8900
2015-05-15,27233.900390625,27379.5703125,27159.759765625,27324.0,27324.0,9300
2015-05-18,27416.970703125,27725.970703125,27370.279296875,27687.30078125,27687.30078125,7800
2015-05-19,27663.080078125,27872.23046875,27574.0703125,27645.529296875,27645.529296875,10600
2015-05-20,27749.30078125,27903.009765625,27743.990234375,27837.2109375,27837.2109375,16400
2015-05-21,27885.359375,27911.439453125,27712.73046875,27809.349609375,27809.349609375,8400
2015-05-22,27849.5390625,28071.16015625,27828.609375,27957.5,27957.5,17800
2015-05-25,27893.25,27903.2890625,27614.3203125,27643.880859375,27643.880859375,8300
2015-05-26,27633.66015625,27675.939453125,27473.5390625,27531.41015625,27531.41015625,7100
2015-05-27,27447.400390625,27595.80078125,27363.720703125,27564.66015625,27564.66015625,8600
2015-05-28,27619.310546875,27666.369140625,27354.349609375,27506.7109375,27506.7109375,9000
2015-05-29,27553.029296875,27888.3203125,27467.23046875,27828.439453125,27828.439453125,12500
2015-06-01,27770.7890625,27959.4296875,27737.580078125,27848.990234375,27848.990234375,9600
2015-06-02,27890.73046875,27902.529296875,27146.6796875,27188.380859375,27188.380859375,14500
2015-06-03,27230.6796875,27276.220703125,26698.259765625,26837.19921875,26837.19921875,14000
2015-06-04,26940.640625,26948.83984375,26551.970703125,26813.419921875,26813.419921875,11600
2015-06-05,26819.8203125,27014.419921875,26718.439453125,26768.490234375,26768.490234375,11900
2015-06-08,26814.310546875,26827.060546875,26472.869140625,26523.08984375,26523.08984375,7900
2015-06-09,26510.2890625,26604.650390625,26438.3203125,26481.25,26481.25,11000
2015-06-10,26517.3203125,26934.740234375,26493.2890625,26840.5,26840.5,8400
2015-06-11,26959.98046875,27000.140625,26348.9296875,26370.98046875,26370.98046875,11300
2015-06-12,26340.3203125,26489.580078125,26307.0703125,26425.30078125,26425.30078125,9600
2015-06-15,26498.669921875,26728.599609375,26307.83984375,26586.55078125,26586.55078125,11000
2015-06-16,26586.859375,26731.349609375,26379.9296875,26686.509765625,26686.509765625,13100
2015-06-17,26815.41015625,26983.48046875,26728.890625,26832.66015625,26832.66015625,23000
2015-06-18,26916.990234375,27175.390625,26910.259765625,27115.830078125,27115.830078125,10500
2015-06-19,27207.759765625,27404.599609375,27202.380859375,27316.169921875,27316.169921875,8100
2015-06-22,27427.189453125,27782.310546875,27417.029296875,27730.2109375,27730.2109375,8100
2015-06-23,27760.109375,27882.66015625,27666.58984375,27804.369140625,27804.369140625,8600
2015-06-24,27852.3203125,27948.240234375,27647.2890625,27729.669921875,27729.669921875,9400
2015-06-25,27660.220703125,27968.75,27635.759765625,27895.970703125,27895.970703125,10100
2015-06-26,27880.720703125,27921.859375,27675.16015625,27811.83984375,27811.83984375,9600
2015-06-29,27451.0703125,27695.3203125,27209.189453125,27645.150390625,27645.150390625,10900
2015-06-30,27627.390625,27814.529296875,27570.94921875,27780.830078125,27780.830078125,9500
2015-07-01,27823.650390625,28099.25,27799.91015625,28020.869140625,28020.869140625,18400
